timestamp,t_rel,pos:left_shoulder_left_top_leg-left_shoulder,pos:left_bottom_leg_left_foot-left_bottom_leg,pos:left_motor_left_shoulder--left_motor,pos:right_motor_right_shoulder-right_motor,pos:left_top_leg_left_bottom_leg-left_top_leg,pos:right_shoulder_right_top_leg-right_shoulder,pos:right_top_leg_right_bottom_leg--right_top_leg,pos:right_bottom_leg_right_foot-right_bottom_leg,vel:left_shoulder_left_top_leg-left_shoulder,vel:left_bottom_leg_left_foot-left_bottom_leg,vel:left_motor_left_shoulder--left_motor,vel:right_motor_right_shoulder-right_motor,vel:left_top_leg_left_bottom_leg-left_top_leg,vel:right_shoulder_right_top_leg-right_shoulder,vel:right_top_leg_right_bottom_leg--right_top_leg,vel:right_bottom_leg_right_foot-right_bottom_leg
2025-11-10T09:11:26,182.977,-0.8089754575611701,-0.7345097686629181,-0.000949551436354085,-9.784718129515997e-06,-1.3876498559760155,0.7885540246502847,1.3863214125640946,0.7378937738102802,0.12589163572379855,0.12545314636587376,0.0007670613110634112,4.2468189243397104e-05,0.15603113982701505,-0.14907577630442864,-0.15480287004192228,-0.12828479257244546
2025-11-10T09:11:26,183.077,-0.7957653935161323,-0.721345716193375,-0.0008690621410378375,-5.328445109020124e-06,-1.3712771927860854,0.7729112018271243,1.3700776342077947,0.724432590975192,0.12806659527596873,0.1276205303820518,0.0007803134013711239,4.320188845484383e-05,0.15872680277596088,-0.15165127531837336,-0.1574773128590736,-0.1305010973602847
2025-11-10T09:11:26,183.177,-0.7825508490904851,-0.708177198948701,-0.0007885455466353199,-8.706606803158388e-07,-1.3548989765751838,0.7572630735187056,1.3538283465436425,0.7109668425889943,0.1294896056108039,0.1290385842725253,0.0007889838437465822,4.368192568565458e-05,0.1604904936141434,-0.1533363465237404,-0.1592271200060323,-0.13195115863388132
2025-11-10T09:11:26,183.277,-0.7693446655496461,-0.6950170134672895,-0.0007080798953413389,3.5843032938266293e-06,-1.3385311229144152,0.7416248458314536,1.337589339856117,0.6975096140251597,0.13042279342495966,0.12996852172836248,0.0007946697835954009,4.399672655755807e-05,0.16164709434840502,-0.15444138973835342,-0.16037461603377864,-0.13290208602855544
2025-11-10T09:11:26,183.377,-0.7561343812901233,-0.6818527415502837,-0.0006275892582519808,8.04065060131046e-06,-1.322158186788822,0.7259817622392188,1.3213452907126904,0.6840482067893844,0.13101162638944125,0.13055530374651236,0.0007982575595674581,4.419536302474345e-05,0.16237689881942907,-0.1551386618866508,-0.1610986755183737,-0.13350211250588317
2025-11-10T09:11:26,183.477,-0.7429236953075956,-0.6686880693095025,-0.0005470961734529477,1.2497133425729116e-05,-1.3057847527643969,0.710338202942872,1.3051007475898682,0.6705863901939877,0.13135821173700057,0.13090068191310433,0.0008003693139311653,4.431227986393219e-05,0.16280645958028547,-0.1555490742182249,-0.16152485479714904,-0.13385528632211494
2025-11-10T09:11:26,183.577,-0.7297145450139635,-0.6555249274087052,-0.00046661244564996044,1.695309820201643e-05,-1.289413222085555,0.6946964621471184,1.288858092829582,0.6571261384804061,0.1316167816641991,0.13115835122319108,0.0008019447878394826,4.4399505647740414e-05,0.16312693329749273,-0.15585526225370866,-0.16184280576034665,-0.13411877157501048
2025-11-10T09:11:26,183.677,-0.7165041397487609,-0.6423605349074909,-0.0003861210712695594,2.1409486329464836e-05,-1.273040135984516,0.6790532352648586,1.2726138948913097,0.6436646079386745,0.13180027186465784,0.1313412023144691,0.0008030627988409465,4.446140409327736e-05,0.16335435257725783,-0.15607254391758077,-0.16206843480624972,-0.13430574986129334
2025-11-10T09:11:26,183.777,-0.7032672922325651,-0.62916979225549,-0.0003054685835030492,2.5874794465877644e-05,-1.2566342771377872,0.6633786965399064,1.256337182192858,0.6301761324878208,0.13192298690147194,0.13146348992624135,0.0008038105050446559,4.450280069104551e-05,0.16350644661399016,-0.15621785809411168,-0.16221933156588733,-0.13443079766889982
2025-11-10T09:11:26,183.877,-0.6899942603192268,-0.6159429912391285,-0.00022459562317732112,3.0352309019473533e-05,-1.2401835710484468,0.6476613097173576,1.2400159752871764,0.6166507847868363,0.132297153765277,0.13183635354073253,0.0008060903143700068,4.4629021858077965e-05,0.16397019213536093,-0.15666093134014894,-0.1626794265043526,-0.13481207731654865
